X	Y
0	59.143
1	56.839
2	57.804
3	57.304
4	56.929
5	57.411
6	56.589
7	56.107
8	57.089
9	57.643
10	56.589
11	56.571
12	56.518
13	56.857
14	56.429
15	56.643
16	57.804
17	57.339
18	57.589
19	56.875
20	56.857
21	57.500
22	57.357
23	56.839
24	56.446
25	56.857
26	57.143
27	57.161
28	56.661
29	57.911
30	59.321
31	57.625
32	59.268
33	59.411
34	59.107
35	59.696
36	58.304
37	59.589
38	59.429
39	60.054
40	60.000
41	60.732
42	61.375
43	62.446
44	63.571
45	65.321
46	65.000
47	67.000
48	68.393
49	71.607
50	74.411
51	76.821
52	84.196
53	91.018
54	100.643
55	110.875
56	121.214
57	130.750
58	138.571
59	146.107
60	150.196
61	153.518
62	153.661
63	149.179
64	140.232
65	121.750
66	85.482
67	62.786
68	60.339
69	61.089
70	62.179
71	63.750
72	66.357
73	69.411
74	75.750
75	81.482
76	88.679
77	97.786
78	105.304
79	111.464
80	116.982
81	117.875
82	116.821
83	108.607
84	94.250
85	68.911
86	55.839
87	54.857
88	53.607
89	52.946
90	53.429
91	54.161
92	51.946
93	51.964
94	53.321
95	52.304
96	53.839
97	53.089
98	53.196
99	53.268
100	53.446
101	53.679
102	53.393
103	53.143
104	52.964
105	52.661
106	52.518
107	52.411
108	52.768
109	53.393
110	54.125
111	56.625
112	56.964
113	58.768
114	58.929
115	60.893
116	61.589
117	61.661
118	61.071
119	60.089
120	58.232
121	56.143
122	54.946
123	52.179
124	51.339
125	50.518
126	49.911
127	50.482
128	49.250
129	49.786
130	50.446
131	50.321
132	50.250
133	49.089
134	49.518
135	50.446
136	49.250
137	49.839
138	48.893
139	49.375
140	51.482
141	52.089
142	53.071
143	52.911
144	53.679
145	53.393
146	52.429
147	52.429
148	51.679
149	50.429
150	48.964
151	48.804
152	49.786
153	48.589
154	48.625
155	48.286
156	48.357
157	47.536
158	48.714
159	48.339
160	47.946
161	46.875
162	48.321
163	47.875
164	48.179
165	47.982
166	48.446
167	49.357
168	47.839
169	47.768
170	48.179
171	48.089
172	47.607
173	47.625
174	48.054
175	47.607
176	47.321
177	46.643
178	47.464
179	48.339
180	46.804
181	48.000
182	47.643
183	48.911
184	47.643
185	47.304
186	47.446
187	48.804
188	47.679
189	47.536
190	47.589
191	48.500
192	46.661
193	47.089
194	48.554
195	48.821
196	48.018
197	46.768
198	47.857
199	46.571
200	46.911
