X	Y
0	76.278
1	75.130
2	75.481
3	74.778
4	75.389
5	73.870
6	73.093
7	72.259
8	73.111
9	72.981
10	72.093
11	73.574
12	73.278
13	71.574
14	72.759
15	73.185
16	73.481
17	72.056
18	72.648
19	72.685
20	72.444
21	74.259
22	73.037
23	73.130
24	71.185
25	72.296
26	72.611
27	73.019
28	72.759
29	72.278
30	72.574
31	73.426
32	73.426
33	75.593
34	75.222
35	76.167
36	76.907
37	75.667
38	76.907
39	77.056
40	75.889
41	77.815
42	78.167
43	78.537
44	79.222
45	81.241
46	81.963
47	83.759
48	85.722
49	88.000
50	91.426
51	97.167
52	105.537
53	115.574
54	128.648
55	146.185
56	161.444
57	175.778
58	188.648
59	197.185
60	202.944
61	204.241
62	199.148
63	180.370
64	143.815
65	110.685
66	95.130
67	88.315
68	86.574
69	86.278
70	86.926
71	88.259
72	92.667
73	97.222
74	106.093
75	115.630
76	128.574
77	139.778
78	147.611
79	150.056
80	147.111
81	131.981
82	105.000
83	79.222
84	71.796
85	69.037
86	68.778
87	69.019
88	68.556
89	69.315
90	67.370
91	66.889
92	69.056
93	67.685
94	69.222
95	67.833
96	67.944
97	69.000
98	70.315
99	68.407
100	68.981
101	70.333
102	67.963
103	69.870
104	69.407
105	69.926
106	70.759
107	72.278
108	73.630
109	76.500
110	79.778
111	82.037
112	85.444
113	88.778
114	89.259
115	91.241
116	88.481
117	85.481
118	80.944
119	75.259
120	70.315
121	66.667
122	65.593
123	64.241
124	64.722
125	64.241
126	64.000
127	64.296
128	64.370
129	63.148
130	63.167
131	63.537
132	62.093
133	63.722
134	66.204
135	66.870
136	68.852
137	69.074
138	71.907
139	73.074
140	74.667
141	73.556
142	70.204
143	69.093
144	66.759
145	62.963
146	63.167
147	61.907
148	60.259
149	61.833
150	61.648
151	61.389
152	60.278
153	61.130
154	62.019
155	61.630
156	60.167
157	60.963
158	59.815
159	61.630
160	60.315
161	58.352
162	59.426
163	60.019
164	59.407
165	59.611
166	59.259
167	59.870
168	60.019
169	58.926
170	59.037
171	59.870
172	59.759
173	58.889
174	57.648
175	59.667
176	60.815
177	59.444
178	60.407
179	58.630
180	60.000
181	60.056
182	61.889
183	59.556
184	59.000
185	59.278
186	58.148
187	59.630
188	59.759
189	60.019
190	58.759
191	59.148
192	58.315
193	58.204
194	59.074
195	58.093
196	58.537
197	59.333
198	60.019
199	57.648
200	57.981
