X	Y
0	76.056
1	75.333
2	73.389
3	72.815
4	71.704
5	72.722
6	71.944
7	71.056
8	71.259
9	71.000
10	71.815
11	70.574
12	72.204
13	71.407
14	72.000
15	70.981
16	70.352
17	70.074
18	70.537
19	70.685
20	70.315
21	70.907
22	71.556
23	71.037
24	71.796
25	69.852
26	70.389
27	72.352
28	71.500
29	72.981
30	72.241
31	72.556
32	71.407
33	72.926
34	73.259
35	73.389
36	74.481
37	73.537
38	73.593
39	76.426
40	74.611
41	75.185
42	76.741
43	75.963
44	75.241
45	80.259
46	79.500
47	82.722
48	82.963
49	89.685
50	92.704
51	101.519
52	111.278
53	126.981
54	143.833
55	161.574
56	179.704
57	194.500
58	204.574
59	212.574
60	215.056
61	210.685
62	196.500
63	172.574
64	140.630
65	115.926
66	103.296
67	96.259
68	94.259
69	96.556
70	98.981
71	102.481
72	107.704
73	117.648
74	128.481
75	141.259
76	150.389
77	158.722
78	162.926
79	159.630
80	149.444
81	129.667
82	99.241
83	75.759
84	67.981
85	67.667
86	66.685
87	66.593
88	66.741
89	66.593
90	65.574
91	66.315
92	65.926
93	66.574
94	65.907
95	66.907
96	66.204
97	66.722
98	65.759
99	67.074
100	66.444
101	67.296
102	66.537
103	67.333
104	67.278
105	70.130
106	71.556
107	72.852
108	74.648
109	77.963
110	79.315
111	80.556
112	83.815
113	85.722
114	84.241
115	82.759
116	80.815
117	74.500
118	70.500
119	67.278
120	64.907
121	63.778
122	62.352
123	63.074
124	62.370
125	61.926
126	62.704
127	61.370
128	62.630
129	62.796
130	61.444
131	62.037
132	62.000
133	63.704
134	65.500
135	66.759
136	68.426
137	69.148
138	71.944
139	73.370
140	70.259
141	66.981
142	66.315
143	64.648
144	61.056
145	59.870
146	58.815
147	59.519
148	60.204
149	60.926
150	59.019
151	58.796
152	60.204
153	58.741
154	58.926
155	58.852
156	58.815
157	58.556
158	59.093
159	58.667
160	59.259
161	58.444
162	58.537
163	59.278
164	58.204
165	59.222
166	57.185
167	58.389
168	58.204
169	56.926
170	59.019
171	57.481
172	56.778
173	57.074
174	58.167
175	58.741
176	57.389
177	59.593
178	57.630
179	58.815
180	57.759
181	57.741
182	56.944
183	58.333
184	57.833
185	57.907
186	57.167
187	58.259
188	57.185
189	56.463
190	56.481
191	57.241
192	56.870
193	55.907
194	55.370
195	56.778
196	57.963
197	56.389
198	57.907
199	56.481
200	57.278
