X	Y
0	77.400
1	77.909
2	77.327
3	78.782
4	77.855
5	78.564
6	78.000
7	77.636
8	77.927
9	77.200
10	77.400
11	76.527
12	77.527
13	77.509
14	76.618
15	76.545
16	76.527
17	76.455
18	77.291
19	77.636
20	77.673
21	77.600
22	77.745
23	77.400
24	77.636
25	77.473
26	79.036
27	78.091
28	77.127
29	78.727
30	77.782
31	80.145
32	80.636
33	80.909
34	80.055
35	81.309
36	80.982
37	81.327
38	82.455
39	82.455
40	84.345
41	84.345
42	83.309
43	84.873
44	85.218
45	86.418
46	90.418
47	92.091
48	96.327
49	102.855
50	110.527
51	121.145
52	131.818
53	145.618
54	159.782
55	170.273
56	178.382
57	185.382
58	188.945
59	189.927
60	187.927
61	180.127
62	163.218
63	130.673
64	90.255
65	82.055
66	82.382
67	82.655
68	84.364
69	89.164
70	94.055
71	101.291
72	110.436
73	120.218
74	129.836
75	138.709
76	146.036
77	150.800
78	150.800
79	146.836
80	135.455
81	111.055
82	84.255
83	76.164
84	74.964
85	74.309
86	73.927
87	74.400
88	73.691
89	75.400
90	75.327
91	74.600
92	75.909
93	75.473
94	74.618
95	74.691
96	75.455
97	74.909
98	74.364
99	76.018
100	76.091
101	75.164
102	74.927
103	73.655
104	73.891
105	75.345
106	73.636
107	76.200
108	77.327
109	76.909
110	77.855
111	77.836
112	77.000
113	74.236
114	73.836
115	72.327
116	70.691
117	70.673
118	69.636
119	70.309
120	68.800
121	69.327
122	68.582
123	68.145
124	69.236
125	67.855
126	67.764
127	68.255
128	67.782
129	68.200
130	69.673
131	68.909
132	70.636
133	70.527
134	69.855
135	70.709
136	71.418
137	71.600
138	69.400
139	69.473
140	69.509
141	67.327
142	67.255
143	67.000
144	67.964
145	66.891
146	65.418
147	65.727
148	66.473
149	66.255
150	65.927
151	67.036
152	65.164
153	65.982
154	65.182
155	64.727
156	64.564
157	63.000
158	65.000
159	63.927
160	64.164
161	64.073
162	64.309
163	65.036
164	64.673
165	65.127
166	64.691
167	64.582
168	65.309
169	64.091
170	64.782
171	64.109
172	63.800
173	63.709
174	64.982
175	64.236
176	64.309
177	64.273
178	63.982
179	64.491
180	64.818
181	64.327
182	63.945
183	65.509
184	65.018
185	64.436
186	64.982
187	64.255
188	63.618
189	63.745
190	62.909
191	62.600
192	64.145
193	62.309
194	63.800
195	62.964
196	62.636
197	62.745
198	63.509
199	63.418
200	63.345
