X	Y
0	63.926
1	63.389
2	63.204
3	64.056
4	64.574
5	64.130
6	62.500
7	62.630
8	64.222
9	64.259
10	63.667
11	63.130
12	63.259
13	63.741
14	63.444
15	63.000
16	62.222
17	63.944
18	63.056
19	63.685
20	63.630
21	64.019
22	62.889
23	65.056
24	63.593
25	64.370
26	63.500
27	65.537
28	63.407
29	63.130
30	64.704
31	65.778
32	65.037
33	64.926
34	65.130
35	65.630
36	65.833
37	65.296
38	66.722
39	65.963
40	66.704
41	65.759
42	67.352
43	67.500
44	68.630
45	69.278
46	69.630
47	70.278
48	69.981
49	73.963
50	77.926
51	78.222
52	78.963
53	81.667
54	84.704
55	90.074
56	96.370
57	104.259
58	114.593
59	127.667
60	143.981
61	157.463
62	170.556
63	183.241
64	194.259
65	201.889
66	205.667
67	204.963
68	199.278
69	185.278
70	155.315
71	106.870
72	74.148
73	69.111
74	68.833
75	69.537
76	72.907
77	74.981
78	81.204
79	85.704
80	94.074
81	104.148
82	115.852
83	128.111
84	138.056
85	144.722
86	150.315
87	149.611
88	142.519
89	127.296
90	96.741
91	69.667
92	60.537
93	58.148
94	60.389
95	58.852
96	58.296
97	58.074
98	57.759
99	57.148
100	57.537
101	57.815
102	58.444
103	54.963
104	56.074
105	56.463
106	57.630
107	56.815
108	57.333
109	56.352
110	57.130
111	56.370
112	57.444
113	55.741
114	57.056
115	56.815
116	55.926
117	56.556
118	57.815
119	57.648
120	57.574
121	58.704
122	57.944
123	57.407
124	56.444
125	56.963
126	54.519
127	54.444
128	52.870
129	53.222
130	53.889
131	52.907
132	52.370
133	52.926
134	53.296
135	51.981
136	51.500
137	51.833
138	50.167
139	53.185
140	50.815
141	51.167
142	53.111
143	51.759
144	52.241
145	51.963
146	51.963
147	51.870
148	52.204
149	52.500
150	52.278
151	51.741
152	52.537
153	51.019
154	51.241
155	51.667
156	50.778
157	49.481
158	50.389
159	49.481
160	50.648
161	48.222
162	48.074
163	47.741
164	48.759
165	49.685
166	49.426
167	49.111
168	48.981
169	49.444
170	48.037
171	47.241
172	47.574
173	47.630
174	47.722
175	47.648
176	47.833
177	48.463
178	47.426
179	47.593
180	48.352
181	48.185
182	46.907
183	48.019
184	47.222
185	47.537
186	48.833
187	47.444
188	48.500
189	47.148
190	47.130
191	46.093
192	46.537
193	46.481
194	47.444
195	47.222
196	46.852
197	46.593
198	46.074
199	47.519
200	47.759
