X	Y
0	62.3519
1	62.6111
2	62.6111
3	62.1852
4	61.7407
5	61.3333
6	61.5370
7	61.4444
8	61.4074
9	61.2407
10	60.6481
11	61.2037
12	61.1111
13	61.2963
14	61.3148
15	61.4815
16	62.2407
17	61.9074
18	61.8148
19	61.3148
20	62.0926
21	61.1296
22	60.4815
23	60.6296
24	61.2593
25	61.1667
26	61.3889
27	61.0000
28	61.3704
29	60.9630
30	62.1296
31	62.5741
32	62.8704
33	63.0000
34	62.5926
35	63.3519
36	63.2593
37	63.0741
38	64.3148
39	64.1852
40	63.9630
41	65.2037
42	66.2963
43	66.5926
44	68.0556
45	68.1852
46	70.1667
47	71.5185
48	74.1296
49	77.4444
50	81.3704
51	85.9074
52	92.7222
53	100.0000
54	107.2037
55	114.3333
56	122.1481
57	127.0000
58	132.8333
59	135.7963
60	137.0185
61	136.7407
62	135.0926
63	128.7407
64	116.5370
65	93.2222
66	70.9074
67	67.6481
68	68.0741
69	68.3889
70	70.9630
71	72.4259
72	75.7778
73	81.5370
74	86.0185
75	92.6111
76	98.8148
77	103.9815
78	107.3704
79	110.9815
80	113.2222
81	110.3333
82	103.6111
83	87.5370
84	70.8704
85	62.9815
86	61.9444
87	61.1111
88	61.0556
89	61.2037
90	60.3704
91	60.4815
92	60.3333
93	60.4444
94	61.2963
95	61.2037
96	61.2963
97	61.8519
98	61.8889
99	60.6852
100	62.4074
101	62.0556
102	60.7222
103	61.6852
104	62.0741
105	60.8889
106	61.3889
107	61.4074
108	62.1852
109	61.9630
110	61.8704
111	60.5556
112	61.8704
113	61.2407
114	61.7593
115	61.6667
116	60.1481
117	60.1111
118	59.9815
119	59.2963
120	59.1111
121	59.5926
122	58.8889
123	58.9630
124	58.7222
125	58.5000
126	58.5000
127	58.3148
128	57.3519
129	57.4074
130	58.1481
131	57.7963
132	56.8519
133	57.8519
134	57.6481
135	57.9815
136	58.1852
137	59.2778
138	58.2963
139	57.8889
140	58.2778
141	57.8704
142	57.8519
143	56.9074
144	57.4815
145	57.8148
146	56.7963
147	57.9259
148	57.6111
149	58.1111
150	57.3519
151	56.9444
152	57.1667
153	57.0556
154	56.7222
155	56.5000
156	56.6296
157	56.9630
158	56.0926
159	56.2222
160	56.3333
161	57.7778
162	56.5926
163	56.0000
164	56.1481
165	57.2593
166	56.9444
167	56.5370
168	56.4630
169	56.1111
170	56.1296
171	56.4630
172	56.0556
173	56.1852
174	56.7222
175	56.5370
176	56.3333
177	56.5741
178	56.4815
179	56.9444
180	56.7593
181	56.7778
182	57.5926
183	56.2778
184	56.7963
185	57.0370
186	56.2037
187	56.3889
188	56.3519
189	56.8519
190	56.0926
191	55.7778
192	56.1296
193	56.3148
194	56.7222
195	56.1852
196	56.1296
197	55.6481
198	56.0741
199	56.2778
200	56.1296
