X	Y
0	74.473
1	75.145
2	75.200
3	74.709
4	75.364
5	74.527
6	73.764
7	74.000
8	73.455
9	73.673
10	72.982
11	74.036
12	72.927
13	73.309
14	73.473
15	73.036
16	74.164
17	73.891
18	73.891
19	74.200
20	74.836
21	74.855
22	73.727
23	74.273
24	74.564
25	73.564
26	73.236
27	74.164
28	73.945
29	73.091
30	74.018
31	75.273
32	74.291
33	75.236
34	75.691
35	75.927
36	75.055
37	76.382
38	76.982
39	78.273
40	77.618
41	78.855
42	78.927
43	77.927
44	79.273
45	79.491
46	81.964
47	84.473
48	86.273
49	89.709
50	94.618
51	103.582
52	111.836
53	123.236
54	136.873
55	149.036
56	160.055
57	169.200
58	178.364
59	183.818
60	186.745
61	186.618
62	183.800
63	176.964
64	163.436
65	137.873
66	101.036
67	81.436
68	79.145
69	79.327
70	82.055
71	83.764
72	87.091
73	92.400
74	99.055
75	106.455
76	115.109
77	123.309
78	130.945
79	136.891
80	140.109
81	143.164
82	139.200
83	132.182
84	117.509
85	93.455
86	75.673
87	71.636
88	70.673
89	70.109
90	69.218
91	68.127
92	67.964
93	68.345
94	68.909
95	68.818
96	69.109
97	69.000
98	69.618
99	70.164
100	69.945
101	68.527
102	69.964
103	70.909
104	70.273
105	70.036
106	69.564
107	70.255
108	69.582
109	69.764
110	69.691
111	68.273
112	69.727
113	69.364
114	68.618
115	68.545
116	68.545
117	67.836
118	68.509
119	67.127
120	66.982
121	66.345
122	66.000
123	65.636
124	66.145
125	66.236
126	65.291
127	64.636
128	65.164
129	65.109
130	63.145
131	63.127
132	61.927
133	62.455
134	62.527
135	63.091
136	64.018
137	63.800
138	64.727
139	63.436
140	64.691
141	64.236
142	63.255
143	63.655
144	62.600
145	63.491
146	62.436
147	61.945
148	61.255
149	61.309
150	61.200
151	61.691
152	61.109
153	60.800
154	60.564
155	61.800
156	60.582
157	60.455
158	59.927
159	60.018
160	60.000
161	59.836
162	59.636
163	59.145
164	60.200
165	59.727
166	58.255
167	58.255
168	58.873
169	58.455
170	58.127
171	59.327
172	59.073
173	59.655
174	58.364
175	58.673
176	58.236
177	59.182
178	59.055
179	59.182
180	58.600
181	58.455
182	58.600
183	58.418
184	58.418
185	57.673
186	58.164
187	58.945
188	60.000
189	59.145
190	59.636
191	58.873
192	59.964
193	59.982
194	59.509
195	59.000
196	58.164
197	58.291
198	58.455
199	58.636
200	58.764
