X	Y
0	65.1429
1	64.7500
2	64.2143
3	64.6607
4	64.1071
5	65.2143
6	64.1964
7	64.2679
8	63.7857
9	65.3750
10	64.4464
11	64.5893
12	63.9643
13	65.4464
14	65.7321
15	64.2321
16	64.5536
17	64.5357
18	64.1429
19	63.8571
20	64.2500
21	63.5714
22	64.0714
23	64.8393
24	64.9107
25	64.3571
26	65.1250
27	65.8214
28	64.9107
29	64.6964
30	64.6964
31	65.9643
32	65.7321
33	66.8571
34	66.3750
35	65.8571
36	66.7143
37	67.1607
38	67.6250
39	67.5536
40	66.6786
41	67.6071
42	68.7500
43	69.8929
44	70.0893
45	71.4464
46	72.5179
47	73.8929
48	76.9643
49	79.0893
50	81.0000
51	82.5000
52	85.6786
53	89.2679
54	95.1071
55	101.1964
56	108.7143
57	115.8214
58	122.8750
59	128.7500
60	135.1250
61	139.0357
62	139.4286
63	140.9286
64	140.0357
65	136.1250
66	129.5893
67	117.0179
68	98.5000
69	84.1607
70	74.2143
71	71.2143
72	72.5893
73	74.7679
74	76.8929
75	79.1250
76	84.7857
77	88.0893
78	94.9821
79	99.6607
80	104.2143
81	109.5536
82	112.0714
83	112.4107
84	111.2500
85	108.1786
86	99.7143
87	86.8929
88	76.8393
89	68.9821
90	65.1607
91	64.3750
92	63.4464
93	64.3750
94	62.2500
95	62.8571
96	63.4464
97	62.5893
98	62.7500
99	63.6964
100	62.2679
101	63.0000
102	63.6786
103	62.6786
104	63.2857
105	63.7500
106	63.6250
107	63.2857
108	63.8393
109	63.5893
110	64.3929
111	64.0893
112	64.2321
113	65.8929
114	64.9107
115	65.3750
116	65.5893
117	67.0179
118	66.3750
119	66.4821
120	66.2857
121	66.0000
122	65.8571
123	65.7679
124	63.5179
125	63.8214
126	63.4286
127	62.3750
128	62.4107
129	62.7143
130	61.9286
131	62.4286
132	62.4643
133	63.0000
134	62.0714
135	62.0893
136	61.8393
137	62.6786
138	63.0893
139	62.0357
140	63.4643
141	62.6786
142	63.2143
143	63.8214
144	63.6607
145	62.3393
146	63.0179
147	63.1607
148	62.8571
149	62.1786
150	61.9821
151	61.7857
152	62.2143
153	62.0179
154	62.0357
155	61.6071
156	62.8929
157	61.4286
158	61.0179
159	61.0536
160	62.5000
161	61.6429
162	62.4107
163	61.7321
164	61.0536
165	60.4107
166	60.7679
167	60.7857
168	60.6964
169	60.5179
170	61.2321
171	60.4464
172	61.3571
173	61.6964
174	61.2321
175	61.7679
176	62.5893
177	62.3929
178	61.8750
179	62.0000
180	60.8750
181	62.6250
182	61.3214
183	62.4286
184	61.3571
185	61.9286
186	61.4821
187	60.8393
188	61.5893
189	61.0536
190	61.4643
191	62.2857
192	61.1964
193	61.5536
194	60.8571
195	60.8929
196	61.4643
197	61.4464
198	61.4286
199	61.9107
200	62.0000
