X	Y
0	66.2000
1	65.6000
2	63.7818
3	63.6545
4	64.9091
5	64.2182
6	65.1818
7	64.5091
8	64.5818
9	64.2182
10	64.6182
11	64.0182
12	64.5818
13	64.5455
14	65.1091
15	65.8909
16	65.7455
17	64.9455
18	64.9091
19	64.8182
20	64.5636
21	64.6909
22	64.7636
23	64.3455
24	64.6727
25	65.0545
26	64.3273
27	64.2545
28	65.1091
29	64.9273
30	65.2727
31	65.3818
32	66.3818
33	66.6909
34	67.5273
35	67.0000
36	66.5273
37	67.2182
38	66.6727
39	67.8000
40	67.4364
41	68.2909
42	67.9455
43	70.2182
44	69.4000
45	71.9818
46	71.7636
47	74.5091
48	76.6909
49	80.8182
50	79.6545
51	83.8000
52	86.6364
53	88.8364
54	94.0364
55	101.0727
56	107.1636
57	114.4909
58	121.8727
59	129.0909
60	134.0364
61	139.5091
62	142.2727
63	144.6364
64	145.2000
65	142.7636
66	137.0909
67	124.9455
68	107.8000
69	90.6727
70	78.0182
71	73.0909
72	72.6727
73	73.6000
74	76.8909
75	78.9455
76	83.8909
77	88.6182
78	93.9636
79	100.5273
80	105.7091
81	110.7273
82	112.7091
83	115.7818
84	115.4000
85	112.5818
86	104.9636
87	91.8182
88	80.6727
89	71.7818
90	65.9818
91	64.1273
92	63.2909
93	63.6909
94	63.0727
95	63.4909
96	62.4909
97	62.2909
98	62.6909
99	64.0182
100	62.0909
101	62.6727
102	64.0364
103	62.7636
104	63.2182
105	63.0909
106	63.3636
107	62.1818
108	63.1273
109	63.1091
110	63.8364
111	63.7818
112	64.3091
113	64.8727
114	65.6727
115	64.9273
116	66.0182
117	65.8545
118	65.9455
119	65.7091
120	66.1636
121	65.2364
122	63.7455
123	64.3091
124	62.4182
125	61.9818
126	61.8364
127	61.0000
128	61.9636
129	61.7273
130	61.4727
131	62.2545
132	61.4182
133	61.0727
134	62.5273
135	61.8182
136	61.0727
137	62.0000
138	61.7455
139	61.7455
140	62.3636
141	61.7273
142	62.5273
143	63.4727
144	63.4000
145	62.8909
146	61.5091
147	61.9818
148	61.8182
149	61.6545
150	60.6727
151	61.5818
152	60.4545
153	60.9091
154	60.8727
155	60.7455
156	60.8909
157	60.7273
158	59.6545
159	60.5455
160	61.1091
161	61.7818
162	61.0000
163	60.4727
164	59.6909
165	58.9636
166	60.0000
167	59.9455
168	59.8909
169	60.0364
170	59.5091
171	59.9636
172	60.0364
173	60.3091
174	61.3455
175	60.5818
176	61.3455
177	60.4545
178	61.5091
179	60.6182
180	60.8182
181	61.7273
182	60.4364
183	60.8000
184	59.8909
185	61.1636
186	60.4364
187	59.9636
188	60.3091
189	60.9818
190	60.9636
191	59.8000
192	59.6727
193	60.6182
194	60.9636
195	60.3091
196	59.7636
197	60.7091
198	60.9273
199	60.5818
200	62.2909
