X	Y
0	66.0175
1	65.4035
2	67.8772
3	65.2281
4	65.6491
5	65.8246
6	65.7719
7	65.4035
8	65.4386
9	66.1404
10	66.7895
11	67.0175
12	67.6667
13	67.0526
14	66.7368
15	66.1404
16	66.6842
17	66.0175
18	66.1228
19	66.7368
20	66.4561
21	67.2807
22	66.7193
23	66.8596
24	67.0702
25	67.5088
26	67.5088
27	67.0175
28	67.2982
29	67.7544
30	68.3158
31	69.1053
32	68.2456
33	69.0000
34	68.3684
35	69.3158
36	68.9649
37	71.0000
38	70.9649
39	71.1930
40	71.5439
41	72.6667
42	74.5965
43	74.3333
44	74.9123
45	77.5614
46	81.8947
47	81.7193
48	84.9825
49	87.3860
50	90.8596
51	95.8596
52	103.2982
53	108.3333
54	116.6842
55	124.4737
56	130.9298
57	137.8421
58	142.0351
59	144.6140
60	146.0000
61	145.9298
62	142.5789
63	137.6316
64	127.5789
65	110.7193
66	93.4386
67	81.9649
68	74.5088
69	74.9825
70	75.8947
71	78.4386
72	81.3860
73	85.2105
74	90.8596
75	95.7193
76	102.3333
77	106.9474
78	110.3333
79	114.5439
80	116.2281
81	116.0175
82	114.4211
83	108.2281
84	96.3333
85	84.4211
86	74.5088
87	68.8596
88	66.6316
89	67.1053
90	66.2456
91	65.6140
92	65.5965
93	66.3860
94	65.8421
95	65.3158
96	65.1930
97	65.6491
98	64.8070
99	65.1754
100	64.9825
101	64.6491
102	64.5263
103	65.2105
104	64.9123
105	65.4035
106	66.6316
107	66.7368
108	66.7193
109	66.6491
110	66.4035
111	68.0175
112	67.9298
113	69.2105
114	69.1053
115	68.5789
116	68.8421
117	67.3158
118	68.3333
119	67.8246
120	66.4386
121	64.2456
122	64.5263
123	65.8421
124	64.1930
125	64.5088
126	64.8596
127	65.2281
128	64.3158
129	64.3860
130	64.2632
131	64.9123
132	64.5965
133	62.8070
134	63.1404
135	64.0351
136	63.7544
137	64.5439
138	63.1053
139	64.4386
140	64.8947
141	65.7719
142	64.0526
143	64.2456
144	64.6316
145	63.7193
146	63.9649
147	63.3860
148	62.4035
149	61.7544
150	62.6140
151	62.5263
152	62.4035
153	62.2632
154	62.3509
155	61.6491
156	62.7193
157	61.9298
158	62.8070
159	61.7368
160	61.6842
161	63.7368
162	62.6316
163	62.0175
164	61.8070
165	62.2982
166	62.4386
167	61.8421
168	61.6140
169	61.3509
170	62.2456
171	62.5789
172	62.2281
173	63.1404
174	62.2807
175	62.5965
176	63.6842
177	63.1228
178	63.3684
179	63.2456
180	62.4737
181	62.4386
182	62.2807
183	62.5614
184	61.9649
185	62.9649
186	62.8421
187	62.1930
188	61.5088
189	62.0351
190	61.2281
191	61.4035
192	61.4035
193	62.1404
194	60.8421
195	61.8421
196	61.7018
197	61.6316
198	62.5614
199	61.8070
200	61.6667
