X	Y
0	130.218
1	127.764
2	126.145
3	128.073
4	127.182
5	128.564
6	127.291
7	129.618
8	128.273
9	129.436
10	129.036
11	128.000
12	128.218
13	126.891
14	127.018
15	128.036
16	126.000
17	126.509
18	126.818
19	126.436
20	127.727
21	128.782
22	128.273
23	129.036
24	132.491
25	130.527
26	128.818
27	128.618
28	129.982
29	128.945
30	127.873
31	130.091
32	129.818
33	128.473
34	131.455
35	130.218
36	130.982
37	131.055
38	131.745
39	131.255
40	132.655
41	132.891
42	134.836
43	134.818
44	135.491
45	136.818
46	137.691
47	138.145
48	142.345
49	145.455
50	150.218
51	158.636
52	166.509
53	177.364
54	191.491
55	201.818
56	211.073
57	217.745
58	223.491
59	226.818
60	224.909
61	217.364
62	199.564
63	166.873
64	137.836
65	132.709
66	132.673
67	133.164
68	134.182
69	136.018
70	139.091
71	143.455
72	150.582
73	157.345
74	170.255
75	175.673
76	183.836
77	187.164
78	189.109
79	183.600
80	170.873
81	148.436
82	132.218
83	128.582
84	127.764
85	127.727
86	127.618
87	128.036
88	128.855
89	127.291
90	127.418
91	128.927
92	127.091
93	127.473
94	127.564
95	128.109
96	127.800
97	127.727
98	129.164
99	128.727
100	128.164
101	129.036
102	128.345
103	130.909
104	131.327
105	133.091
106	137.000
107	139.073
108	143.055
109	145.618
110	148.909
111	148.800
112	149.582
113	145.964
114	141.945
115	137.418
116	133.018
117	127.800
118	126.218
119	126.836
120	126.436
121	126.127
122	125.655
123	126.455
124	127.273
125	126.473
126	126.018
127	125.618
128	127.018
129	127.218
130	129.255
131	130.855
132	132.964
133	134.691
134	135.673
135	135.618
136	134.964
137	133.418
138	133.345
139	130.636
140	129.400
141	127.982
142	126.018
143	126.000
144	124.018
145	125.964
146	125.073
147	124.891
148	124.309
149	123.418
150	124.291
151	124.091
152	124.036
153	124.436
154	124.018
155	124.982
156	124.073
157	125.945
158	124.491
159	125.382
160	124.164
161	124.745
162	123.364
163	123.727
164	123.909
165	124.364
166	123.018
167	124.091
168	124.655
169	125.109
170	126.127
171	125.600
172	125.000
173	125.709
174	125.309
175	124.200
176	125.818
177	123.436
178	123.982
179	124.764
180	123.127
181	125.545
182	123.745
183	123.909
184	124.345
185	125.055
186	125.127
187	125.436
188	124.436
189	124.545
190	124.564
191	124.127
192	123.964
193	124.818
194	125.109
195	123.527
196	124.927
197	124.655
198	125.509
199	124.145
200	125.364
