X	Y
0	73.446
1	72.732
2	71.554
3	71.607
4	71.339
5	71.964
6	71.321
7	72.375
8	72.018
9	70.804
10	71.536
11	71.214
12	71.054
13	70.768
14	71.429
15	70.964
16	71.929
17	72.536
18	72.089
19	72.179
20	73.554
21	71.821
22	73.107
23	72.464
24	73.393
25	71.679
26	71.179
27	73.875
28	71.679
29	71.732
30	73.607
31	73.375
32	72.839
33	74.125
34	74.946
35	74.607
36	74.179
37	75.732
38	75.179
39	74.768
40	75.607
41	75.750
42	76.964
43	79.518
44	79.143
45	77.893
46	78.929
47	82.196
48	83.304
49	86.357
50	89.857
51	93.929
52	102.429
53	110.518
54	123.982
55	138.179
56	151.482
57	162.893
58	173.982
59	183.304
60	188.143
61	191.179
62	187.607
63	173.929
64	143.250
65	92.446
66	76.250
67	74.554
68	76.000
69	76.054
70	78.393
71	80.875
72	85.339
73	90.839
74	99.464
75	109.375
76	120.929
77	132.536
78	140.536
79	147.571
80	150.411
81	146.554
82	133.536
83	103.429
84	77.429
85	72.125
86	70.446
87	70.071
88	70.161
89	71.000
90	70.411
91	69.429
92	70.268
93	71.214
94	69.786
95	71.125
96	70.161
97	71.107
98	71.786
99	71.607
100	71.589
101	70.929
102	71.946
103	71.643
104	72.161
105	72.786
106	73.714
107	75.196
108	77.714
109	81.536
110	86.982
111	90.554
112	93.732
113	96.768
114	99.429
115	96.875
116	94.268
117	89.339
118	82.339
119	76.232
120	72.696
121	69.214
122	68.446
123	67.982
124	68.679
125	69.196
126	68.714
127	68.714
128	66.821
129	67.429
130	67.946
131	67.714
132	68.554
133	69.518
134	71.911
135	72.964
136	76.089
137	76.750
138	80.232
139	79.661
140	80.411
141	79.357
142	75.429
143	73.589
144	71.196
145	67.750
146	67.589
147	66.179
148	66.411
149	65.071
150	65.607
151	65.196
152	65.018
153	65.786
154	64.661
155	65.125
156	65.196
157	63.696
158	66.018
159	66.929
160	65.286
161	64.982
162	65.339
163	63.982
164	64.661
165	64.000
166	65.214
167	64.107
168	66.679
169	64.893
170	65.321
171	65.304
172	65.821
173	65.071
174	66.125
175	64.732
176	64.357
177	65.554
178	64.464
179	65.911
180	64.339
181	63.107
182	65.482
183	64.536
184	64.268
185	63.518
186	64.036
187	63.304
188	64.161
189	63.536
190	62.964
191	63.375
192	64.089
193	63.304
194	64.304
