X	Y
0	89.2143
1	87.1429
2	86.9107
3	86.3750
4	86.9464
5	87.3214
6	86.9107
7	87.2679
8	85.1964
9	86.6250
10	86.9821
11	87.1607
12	85.4286
13	86.4464
14	87.4464
15	86.2143
16	87.1607
17	86.5714
18	86.3036
19	86.2500
20	86.3750
21	87.5179
22	87.2500
23	86.3393
24	86.9107
25	87.6250
26	87.7321
27	87.4464
28	87.0536
29	86.8571
30	87.7679
31	87.9821
32	87.2143
33	87.3750
34	88.1250
35	88.6786
36	88.7143
37	88.4286
38	90.7321
39	89.7143
40	89.5357
41	90.4821
42	92.1429
43	91.5536
44	92.5893
45	92.4286
46	94.5179
47	94.8393
48	96.3214
49	98.2679
50	101.5536
51	105.2679
52	108.4464
53	113.5357
54	120.3214
55	128.7321
56	136.6786
57	145.7679
58	152.2857
59	157.9107
60	163.0179
61	165.2857
62	165.8750
63	163.1607
64	157.2679
65	142.5893
66	120.7143
67	102.6429
68	92.2857
69	92.2143
70	92.0714
71	94.3036
72	95.5536
73	98.8393
74	101.7321
75	106.4286
76	112.9286
77	119.7500
78	125.4821
79	131.9464
80	134.7500
81	137.4286
82	137.3393
83	132.9464
84	121.0000
85	105.3214
86	93.3214
87	87.2857
88	86.3393
89	85.6786
90	85.8929
91	85.7500
92	86.6964
93	86.8929
94	87.3214
95	86.2857
96	87.0893
97	87.6250
98	87.8571
99	86.8214
100	86.0179
101	86.6071
102	86.5536
103	86.8214
104	86.9107
105	87.8036
106	88.1250
107	88.9107
108	90.5000
109	91.9107
110	93.4643
111	95.7500
112	97.2679
113	97.5714
114	96.4107
115	96.1964
116	93.8036
117	91.8929
118	89.6607
119	86.7679
120	86.3571
121	84.9643
122	84.1429
123	84.1429
124	83.9643
125	84.4643
126	83.5179
127	84.1607
128	84.4643
129	85.5893
130	84.5714
131	84.3571
132	85.1429
133	85.7857
134	86.1250
135	87.4107
136	87.8571
137	88.7321
138	88.8393
139	89.4643
140	89.1250
141	86.9821
142	85.6607
143	84.6786
144	84.4464
145	83.6607
146	83.2679
147	82.2500
148	83.5893
149	81.7143
150	81.7500
151	81.7500
152	81.2143
153	82.4286
154	81.6250
155	82.1607
156	82.6964
157	82.6250
158	81.2857
159	81.8214
160	82.0536
161	81.5357
162	81.7321
163	81.4464
164	81.8750
165	81.2679
166	81.4464
167	81.8571
168	81.5179
169	82.0536
170	82.2321
171	81.1964
172	82.4464
173	81.5179
174	81.7679
175	81.6250
176	80.8750
177	81.9107
178	80.6250
179	81.7321
180	82.2679
181	80.9821
182	81.0179
183	80.8036
184	81.4286
185	81.6429
186	82.2679
187	82.6786
188	81.8929
189	80.6964
190	81.1786
191	82.1429
192	81.7500
193	81.2679
194	81.8036
195	82.0714
196	80.6429
197	81.1607
198	80.5714
199	81.0893
200	81.5714
201	81.7143
202	81.3571
203	80.6964
204	81.2500
205	81.5179
206	82.4107
207	82.4464
208	81.7500
