X	Y
0	70.4444
1	67.5000
2	69.1296
3	68.7963
4	69.3704
5	68.2407
6	68.1111
7	68.2407
8	68.5000
9	68.0370
10	68.3333
11	68.7963
12	68.3889
13	68.2222
14	69.5370
15	68.1111
16	68.2778
17	68.9815
18	68.9074
19	68.2222
20	69.1667
21	68.9074
22	68.9074
23	68.8704
24	69.4815
25	69.3148
26	69.2963
27	69.5185
28	68.0556
29	69.2963
30	69.0185
31	69.3889
32	68.9444
33	69.9074
34	70.8889
35	70.7593
36	71.9074
37	71.5556
38	71.6667
39	71.5000
40	72.2037
41	73.1111
42	74.6481
43	73.2407
44	74.5185
45	75.1111
46	77.8519
47	77.5370
48	79.4074
49	83.0556
50	85.9259
51	89.6481
52	93.2593
53	99.2778
54	107.9074
55	116.6667
56	125.3333
57	134.5000
58	143.5185
59	149.5185
60	154.7778
61	158.0741
62	158.7222
63	156.0000
64	149.2222
65	133.3704
66	107.3889
67	84.1481
68	74.0185
69	74.6296
70	75.0185
71	77.2407
72	78.3519
73	81.4815
74	84.6296
75	90.3148
76	97.2778
77	106.0741
78	112.8333
79	118.5000
80	124.1852
81	127.2963
82	127.1111
83	122.3519
84	109.9259
85	90.2222
86	75.5741
87	68.7593
88	67.2963
89	67.9630
90	66.7037
91	67.2778
92	66.9259
93	67.4630
94	67.0370
95	67.0000
96	67.1852
97	68.2778
98	68.2593
99	68.1667
100	67.2407
101	67.6296
102	68.3148
103	69.0185
104	68.0556
105	68.2778
106	70.2037
107	69.5000
108	71.9815
109	73.6481
110	75.4074
111	77.2222
112	80.0370
113	80.9815
114	80.8704
115	79.4259
116	77.1296
117	74.8519
118	71.6667
119	68.9630
120	66.9259
121	65.5926
122	65.2963
123	65.5000
124	64.7778
125	64.9074
126	65.1111
127	65.2963
128	64.6481
129	65.4259
130	65.4259
131	65.8519
132	67.2963
133	67.7407
134	66.5556
135	69.2963
136	68.8519
137	70.6111
138	71.4444
139	70.2593
140	70.0741
141	69.1111
142	67.2222
143	65.4815
144	64.5370
145	64.4259
146	63.3333
147	63.4444
148	63.7963
149	64.1111
150	63.5000
151	62.9815
152	62.2407
153	62.1296
154	62.6852
155	62.5556
156	62.9074
157	62.1111
158	62.2963
159	63.1667
160	62.7037
161	62.8889
162	62.2407
163	62.6111
164	62.9444
165	62.7037
166	61.6852
167	62.3148
168	62.7407
169	61.5556
170	62.2037
171	62.0926
172	61.9074
173	62.8704
174	61.5185
175	62.2778
176	63.0370
177	63.1667
178	61.7963
179	61.6852
180	62.0185
181	61.9444
182	61.7593
183	61.0741
184	61.4444
185	61.1667
186	62.2037
187	62.0926
188	61.4074
189	62.0185
190	61.1852
191	61.0000
192	61.1667
193	61.1667
194	61.9815
195	61.0741
196	60.8333
197	62.2037
198	60.3333
199	61.6667
200	61.5185
