X	Y
0	88.407
1	88.074
2	88.963
3	87.537
4	88.296
5	87.481
6	86.907
7	87.315
8	86.944
9	87.426
10	87.463
11	88.000
12	87.148
13	87.093
14	86.963
15	86.519
16	85.648
17	86.204
18	85.963
19	86.481
20	86.944
21	86.370
22	87.407
23	86.593
24	87.333
25	87.296
26	86.630
27	86.352
28	88.148
29	86.778
30	87.093
31	86.926
32	88.463
33	87.574
34	89.426
35	88.796
36	89.278
37	89.370
38	90.074
39	90.056
40	91.593
41	92.370
42	92.463
43	94.074
44	94.704
45	94.130
46	98.722
47	100.204
48	103.759
49	109.667
50	117.019
51	123.981
52	132.426
53	145.148
54	159.315
55	174.019
56	188.315
57	200.130
58	209.833
59	217.259
60	221.407
61	219.667
62	211.704
63	192.019
64	151.000
65	104.222
66	92.852
67	93.259
68	93.556
69	96.167
70	98.130
71	102.963
72	110.667
73	120.889
74	132.019
75	144.611
76	156.296
77	166.407
78	172.833
79	174.407
80	166.648
81	148.259
82	111.296
83	89.185
84	85.296
85	85.185
86	84.759
87	85.426
88	84.352
89	85.648
90	85.778
91	84.815
92	85.722
93	85.185
94	85.352
95	85.685
96	85.981
97	85.685
98	87.481
99	87.444
100	87.741
101	88.796
102	88.315
103	91.167
104	91.796
105	93.870
106	98.130
107	101.222
108	105.722
109	109.111
110	113.111
111	113.167
112	111.148
113	106.389
114	101.444
115	94.981
116	89.481
117	84.500
118	81.926
119	82.370
120	83.481
121	82.074
122	81.889
123	82.685
124	81.815
125	82.722
126	83.481
127	82.741
128	84.019
129	85.000
130	86.944
131	89.296
132	91.481
133	94.481
134	95.333
135	95.185
136	94.500
137	91.722
138	88.778
139	84.556
140	82.259
141	81.722
142	80.463
143	80.093
144	78.926
145	80.037
146	80.111
147	79.278
148	78.463
149	78.815
150	78.130
151	78.667
152	78.241
153	77.204
154	77.556
155	77.426
156	76.648
157	78.315
158	77.407
159	77.796
160	77.241
161	76.093
162	76.685
163	76.722
164	75.519
165	77.352
166	76.130
167	77.778
168	76.556
169	77.204
170	76.926
171	77.315
172	76.481
173	75.796
174	76.241
175	76.852
176	76.222
177	77.056
178	76.815
179	77.093
180	75.778
181	76.741
182	76.852
183	76.907
184	76.722
185	76.611
186	76.426
187	75.278
188	74.019
189	75.056
190	74.907
191	74.074
192	75.167
193	73.704
194	75.259
195	74.722
196	74.963
197	73.259
198	73.759
199	74.148
200	74.407
