X	Y
0	57.377
1	57.019
2	57.925
3	56.962
4	56.679
5	58.038
6	56.981
7	57.132
8	55.623
9	55.925
10	56.075
11	56.925
12	56.038
13	55.358
14	56.094
15	56.736
16	56.453
17	54.566
18	56.170
19	56.283
20	55.226
21	54.094
22	55.094
23	56.528
24	56.491
25	55.604
26	54.943
27	55.698
28	55.962
29	56.660
30	56.245
31	56.736
32	57.472
33	56.208
34	55.925
35	57.623
36	55.170
37	56.472
38	57.358
39	57.226
40	57.472
41	58.377
42	59.057
43	60.396
44	59.415
45	60.189
46	59.887
47	61.943
48	61.962
49	63.132
50	63.415
51	64.038
52	64.943
53	67.019
54	68.943
55	71.094
56	71.698
57	77.019
58	82.679
59	89.906
60	99.321
61	111.094
62	123.962
63	137.000
64	150.000
65	161.849
66	168.755
67	175.057
68	176.981
69	175.038
70	168.698
71	153.245
72	123.358
73	82.811
74	63.321
75	60.943
76	59.434
77	60.774
78	62.547
79	64.925
80	69.208
81	73.264
82	81.415
83	89.585
84	99.623
85	111.075
86	118.132
87	124.868
88	128.434
89	127.774
90	122.585
91	108.170
92	81.868
93	60.491
94	53.434
95	52.849
96	50.113
97	50.113
98	51.698
99	49.887
100	49.755
101	48.698
102	49.698
103	48.623
104	49.774
105	48.981
106	49.943
107	48.792
108	48.774
109	49.075
110	49.170
111	48.566
112	49.000
113	48.660
114	48.679
115	48.340
116	48.472
117	48.019
118	47.472
119	48.509
120	47.566
121	47.906
122	48.340
123	47.943
124	47.189
125	47.943
126	46.660
127	47.245
128	46.774
129	46.283
130	45.566
131	44.491
132	45.208
133	44.679
134	45.057
135	45.717
136	45.396
137	45.151
138	45.943
139	44.075
140	45.283
141	45.321
142	45.151
143	44.736
144	45.943
145	45.811
146	46.189
147	45.396
148	45.113
149	45.491
150	45.698
151	44.208
152	44.698
153	44.755
154	45.132
155	45.340
156	45.321
157	43.830
158	43.830
159	43.962
160	43.566
161	43.434
162	43.906
163	44.170
164	42.170
165	43.396
166	44.189
167	44.094
168	43.472
169	43.717
170	42.585
171	43.717
172	43.132
173	43.962
174	44.358
175	43.094
176	44.830
177	44.226
178	44.642
179	44.245
180	43.377
181	43.868
182	43.811
183	44.321
184	44.736
185	44.849
186	45.396
187	43.377
188	43.792
189	45.057
190	44.774
191	44.453
192	43.830
193	43.830
194	44.981
195	43.340
196	44.208
197	42.981
198	45.377
199	44.302
200	44.415
