X	Y
0	66.185
1	65.722
2	64.833
3	65.759
4	66.074
5	64.444
6	64.130
7	64.185
8	65.704
9	65.222
10	65.352
11	66.204
12	65.944
13	65.222
14	64.463
15	63.963
16	63.852
17	65.630
18	64.833
19	66.333
20	65.648
21	64.148
22	65.926
23	64.463
24	65.556
25	64.889
26	64.907
27	64.648
28	65.389
29	64.204
30	65.074
31	65.852
32	64.519
33	66.278
34	66.704
35	66.778
36	69.241
37	68.315
38	67.815
39	67.407
40	68.630
41	68.185
42	69.222
43	70.278
44	71.074
45	71.352
46	72.574
47	73.796
48	75.981
49	78.426
50	82.185
51	85.722
52	88.685
53	95.648
54	104.704
55	116.944
56	129.833
57	144.278
58	160.704
59	174.019
60	184.759
61	193.444
62	199.648
63	203.500
64	197.889
65	182.296
66	146.296
67	96.722
68	72.685
69	70.074
70	69.926
71	71.000
72	70.278
73	73.593
74	77.648
75	83.556
76	92.426
77	103.815
78	113.444
79	126.574
80	136.704
81	143.741
82	148.278
83	147.685
84	139.222
85	114.667
86	81.611
87	65.722
88	63.148
89	63.130
90	63.611
91	63.019
92	63.648
93	62.667
94	63.944
95	63.056
96	63.037
97	61.889
98	62.519
99	61.537
100	63.352
101	63.963
102	62.963
103	64.685
104	63.241
105	63.611
106	64.537
107	64.185
108	64.907
109	66.926
110	68.833
111	71.444
112	74.481
113	79.611
114	85.019
115	89.667
116	93.463
117	94.241
118	94.426
119	91.315
120	86.889
121	78.759
122	72.722
123	66.333
124	62.167
125	60.222
126	59.981
127	60.704
128	58.481
129	60.852
130	59.556
131	58.278
132	59.241
133	58.426
134	59.519
135	61.352
136	60.926
137	63.093
138	65.815
139	67.481
140	71.481
141	74.037
142	74.444
143	74.556
144	72.093
145	68.593
146	65.278
147	63.185
148	59.611
149	58.185
150	57.667
151	56.519
152	56.500
153	57.481
154	57.241
155	55.759
156	56.593
157	56.426
158	57.000
159	56.056
160	57.241
161	56.481
162	55.852
163	56.111
164	56.426
165	56.296
166	56.815
167	55.574
168	55.926
169	56.185
170	54.759
171	55.056
172	55.981
173	55.963
174	56.963
175	56.574
176	55.907
177	56.019
178	56.074
179	57.722
180	56.185
181	56.222
182	55.148
183	55.796
184	55.889
185	56.056
186	56.056
187	53.463
188	55.796
189	54.370
190	55.204
191	54.630
192	54.926
193	55.741
194	53.574
195	53.407
196	53.833
197	53.778
198	54.148
199	53.926
200	53.981
