X	Y
0	63.736
1	64.264
2	62.679
3	64.283
4	63.887
5	64.075
6	63.434
7	63.717
8	62.547
9	62.491
10	62.509
11	64.189
12	63.491
13	64.698
14	63.925
15	63.679
16	63.000
17	63.264
18	64.660
19	63.528
20	64.302
21	63.226
22	64.962
23	63.736
24	63.321
25	64.189
26	64.774
27	63.868
28	64.660
29	65.509
30	64.830
31	64.302
32	65.189
33	66.000
34	65.170
35	66.075
36	66.415
37	67.377
38	68.245
39	68.000
40	69.528
41	68.755
42	69.943
43	71.358
44	71.811
45	72.208
46	73.792
47	76.208
48	77.415
49	81.151
50	84.189
51	87.717
52	95.283
53	103.396
54	114.981
55	127.868
56	142.245
57	158.434
58	172.358
59	184.943
60	195.264
61	202.340
62	205.660
63	202.094
64	189.528
65	158.321
66	108.094
67	73.906
68	69.962
69	68.679
70	69.453
71	72.585
72	73.151
73	76.189
74	80.377
75	87.925
76	99.340
77	110.226
78	121.264
79	133.509
80	143.000
81	148.849
82	149.377
83	144.019
84	123.528
85	91.528
86	67.340
87	61.509
88	62.038
89	62.132
90	62.377
91	61.623
92	61.151
93	62.491
94	61.283
95	61.189
96	62.038
97	61.509
98	61.736
99	61.887
100	62.170
101	62.113
102	62.755
103	63.566
104	62.340
105	63.038
106	63.623
107	63.000
108	64.547
109	66.264
110	70.887
111	73.302
112	77.755
113	81.849
114	88.585
115	92.226
116	93.849
117	95.113
118	92.453
119	88.358
120	80.509
121	73.075
122	67.642
123	62.396
124	59.774
125	59.434
126	59.566
127	59.887
128	59.019
129	60.057
130	60.075
131	59.604
132	58.604
133	59.509
134	60.245
135	61.245
136	62.358
137	64.377
138	67.377
139	69.113
140	70.925
141	73.113
142	73.755
143	73.491
144	69.491
145	67.132
146	62.585
147	59.755
148	59.226
149	58.717
150	57.755
151	57.811
152	54.962
153	57.830
154	56.642
155	56.358
156	55.245
157	55.736
158	56.679
159	56.981
160	55.774
161	55.981
162	55.679
163	55.925
164	55.887
165	55.491
166	55.792
167	54.925
168	54.887
169	54.226
170	54.811
171	54.868
172	54.075
173	55.113
174	55.868
175	53.906
176	54.283
177	55.057
178	55.849
179	54.038
180	54.604
181	54.736
182	55.377
183	54.604
184	54.679
185	53.075
186	53.547
187	54.717
188	53.113
189	54.019
190	53.981
191	54.340
192	54.434
193	54.113
194	52.774
195	54.000
196	53.453
197	53.925
198	53.377
199	53.887
200	53.302
