X	Y
0	99.5926
1	99.1852
2	99.6481
3	98.7037
4	99.0926
5	99.1667
6	98.7037
7	98.2593
8	98.5926
9	98.9630
10	100.0926
11	99.2778
12	99.5370
13	98.8333
14	99.6667
15	99.0741
16	97.8519
17	98.2593
18	99.7222
19	98.7593
20	98.9630
21	98.3889
22	99.6296
23	99.1111
24	99.0370
25	100.3148
26	100.0926
27	100.8333
28	100.5370
29	100.0926
30	100.3148
31	100.5185
32	100.7037
33	100.9630
34	101.8148
35	102.3889
36	101.1296
37	102.6481
38	102.7963
39	103.3148
40	103.5000
41	104.5000
42	105.0556
43	106.4815
44	106.2778
45	106.7037
46	107.5556
47	109.7963
48	112.0370
49	114.3889
50	117.6296
51	123.5000
52	129.7407
53	138.2963
54	148.9259
55	158.5000
56	168.5926
57	176.0926
58	182.6111
59	186.8519
60	187.8889
61	184.2963
62	170.9259
63	141.6852
64	116.1852
65	103.3889
66	103.2963
67	103.3519
68	104.3148
69	106.4444
70	107.8519
71	110.9259
72	115.6667
73	121.3519
74	128.2963
75	135.3333
76	143.9444
77	149.8333
78	155.0741
79	156.2963
80	152.9630
81	138.1111
82	118.7778
83	106.0370
84	101.2037
85	100.5741
86	100.3519
87	100.1852
88	98.8519
89	100.2778
90	99.5926
91	99.2407
92	99.4444
93	99.1296
94	100.2778
95	99.3889
96	99.3889
97	99.3519
98	99.0926
99	100.4444
100	99.6296
101	99.8333
102	100.1667
103	99.7037
104	101.6852
105	101.6296
106	103.2037
107	104.5556
108	106.9630
109	109.3889
110	110.7222
111	111.9259
112	113.4444
113	113.8148
114	112.0741
115	107.5556
116	105.3333
117	102.5556
118	100.8333
119	99.0556
120	97.2778
121	96.7778
122	98.0556
123	97.7222
124	96.9259
125	96.5556
126	98.1111
127	96.9259
128	96.5000
129	97.2778
130	96.8704
131	97.1111
132	96.9630
133	98.3889
134	99.1852
135	100.2778
136	100.6481
137	102.8519
138	102.3519
139	102.5926
140	101.1667
141	100.4630
142	98.7407
143	97.1481
144	96.2593
145	95.2222
146	95.6481
147	94.3704
148	95.1667
149	95.0370
150	95.3148
151	95.0185
152	94.3704
153	93.9815
154	94.4444
155	94.1852
156	95.0556
157	95.7222
158	95.4074
159	95.2222
160	95.1296
161	95.2963
162	94.4074
163	94.2407
164	95.2593
165	94.1481
166	94.2037
167	93.4074
168	93.9259
169	95.1667
170	93.9259
171	93.9444
172	94.8704
173	94.7778
174	94.9630
175	95.9815
176	95.3333
177	94.9630
178	94.8889
179	93.8889
180	93.9074
181	95.1111
182	94.6296
183	94.0185
184	94.7593
185	94.1667
186	93.7963
187	94.3148
188	93.5556
189	95.1667
190	94.0000
191	94.9815
192	94.9074
193	94.4815
194	94.7963
195	94.4630
196	94.2593
197	95.3704
198	94.4444
199	93.6667
200	93.9815
