X	Y
0	63.5714
1	63.5179
2	63.6429
3	63.7857
4	63.3929
5	63.5357
6	63.1786
7	63.6429
8	63.7143
9	63.3393
10	62.9643
11	62.8571
12	63.3393
13	62.9107
14	63.4107
15	63.6964
16	63.1429
17	64.0714
18	63.1607
19	63.5893
20	62.3929
21	63.1429
22	62.5000
23	62.8750
24	63.7143
25	62.6607
26	62.7679
27	62.9643
28	62.6964
29	63.8571
30	63.1607
31	64.6964
32	63.8393
33	64.3571
34	65.2679
35	65.0714
36	65.1964
37	65.8393
38	65.9821
39	65.8750
40	66.3214
41	68.1964
42	68.5714
43	68.8393
44	71.0893
45	72.4464
46	75.3571
47	76.6964
48	79.5179
49	82.8036
50	85.7500
51	88.6964
52	91.8571
53	97.0000
54	100.3393
55	105.3393
56	108.4643
57	111.1429
58	113.3393
59	114.1607
60	114.3393
61	112.5179
62	109.5536
63	105.9107
64	101.5893
65	95.4107
66	87.6964
67	81.1607
68	73.7679
69	70.8393
70	71.6607
71	72.9821
72	74.4643
73	76.2143
74	79.2143
75	81.7321
76	84.4107
77	86.3393
78	89.5179
79	90.6429
80	91.3750
81	91.4286
82	90.2857
83	88.0893
84	84.0000
85	78.7679
86	74.3929
87	69.8036
88	64.4107
89	62.1071
90	60.8036
91	60.2857
92	60.8929
93	61.1964
94	61.2500
95	61.7143
96	60.7500
97	60.6071
98	60.6429
99	61.2321
100	60.8393
101	61.4821
102	59.8214
103	59.9821
104	61.2143
105	59.6964
106	60.1786
107	59.8750
108	60.3571
109	59.9643
110	60.2679
111	60.8036
112	59.5893
113	59.9821
114	60.5714
115	60.6250
116	59.9286
117	60.8036
118	60.3750
119	60.0000
120	59.5536
121	60.1250
122	60.1071
123	59.3750
124	59.7321
125	58.9643
126	58.8929
127	58.7143
128	59.7679
129	59.6786
130	59.9464
131	60.2321
132	60.3214
133	59.3571
134	60.0536
135	59.9286
136	59.2679
137	59.8571
138	59.8036
139	60.0000
140	59.3929
141	59.2679
142	58.6607
143	59.5893
144	59.6429
145	59.3571
146	59.6607
147	59.4643
148	59.4286
149	58.4643
150	59.2321
151	59.4643
152	58.7321
153	58.0893
154	58.9643
155	59.4821
156	59.3750
157	58.4821
158	58.9286
159	59.2500
160	58.9286
161	59.6607
162	59.3214
163	59.1429
164	59.4821
165	59.7321
166	59.2143
167	58.9643
168	59.5000
169	59.0893
170	59.1607
171	58.9643
172	59.9286
173	59.8571
174	59.7143
175	58.4464
176	59.2857
177	58.9107
178	58.6071
179	59.1607
180	59.5179
181	59.7857
182	59.9464
183	59.6786
184	59.4821
185	59.0179
186	59.6071
187	59.1071
188	59.3571
189	59.7857
190	60.3036
191	59.1786
192	58.3750
193	59.3929
194	60.2321
195	60.1607
196	59.7143
197	59.4643
198	60.6786
199	59.4107
200	59.9464
