X	Y
0	102.442
1	102.019
2	101.962
3	101.750
4	102.058
5	101.000
6	100.231
7	101.269
8	100.750
9	101.423
10	100.308
11	101.442
12	101.923
13	101.462
14	101.135
15	101.019
16	101.962
17	101.462
18	102.538
19	100.923
20	101.327
21	101.635
22	102.212
23	102.404
24	101.942
25	101.788
26	101.558
27	100.962
28	101.404
29	101.269
30	101.788
31	102.115
32	102.500
33	103.385
34	103.462
35	103.769
36	103.500
37	103.769
38	105.288
39	104.077
40	104.788
41	106.365
42	106.750
43	106.346
44	107.635
45	106.615
46	108.442
47	110.712
48	112.000
49	113.654
50	117.231
51	120.173
52	126.154
53	132.827
54	143.692
55	155.404
56	169.519
57	184.115
58	195.788
59	206.019
60	213.096
61	218.500
62	219.077
63	209.519
64	187.346
65	145.654
66	113.077
67	108.923
68	107.654
69	106.712
70	106.769
71	106.788
72	108.673
73	111.385
74	116.173
75	121.577
76	130.654
77	142.231
78	152.615
79	162.385
80	169.135
81	173.135
82	168.327
83	150.750
84	122.596
85	103.865
86	102.846
87	100.442
88	101.962
89	99.865
90	99.058
91	100.885
92	99.500
93	99.154
94	100.038
95	100.135
96	99.808
97	99.981
98	100.731
99	100.981
100	100.788
101	100.654
102	100.462
103	101.000
104	101.519
105	102.096
106	103.615
107	104.346
108	105.731
109	108.577
110	112.808
111	114.846
112	120.712
113	122.769
114	126.288
115	125.981
116	125.481
117	121.423
118	115.231
119	110.231
120	103.769
121	100.904
122	99.942
123	99.115
124	97.615
125	96.712
126	98.346
127	98.212
128	97.769
129	97.135
130	98.115
131	97.538
132	97.712
133	98.923
134	99.385
135	100.846
136	103.058
137	105.577
138	107.673
139	109.808
140	111.519
141	110.442
142	108.077
143	104.365
144	100.731
145	98.596
146	97.423
147	97.692
148	96.904
149	96.423
150	96.192
151	94.596
152	95.596
153	95.788
154	96.615
155	95.404
156	96.269
157	96.115
158	96.481
159	95.077
160	95.731
161	95.327
162	95.135
163	95.731
164	94.365
165	96.115
166	95.135
167	95.692
168	96.269
169	95.173
170	95.712
171	95.231
172	95.288
173	94.981
174	94.692
175	94.288
176	94.346
177	95.000
178	95.154
179	94.096
180	94.423
181	94.673
182	94.962
183	95.404
184	94.981
185	94.635
186	94.962
187	94.596
188	94.904
189	95.596
190	95.135
191	94.327
192	94.962
193	93.654
194	95.231
195	94.173
196	93.712
197	94.635
198	95.000
199	93.500
200	94.923
