X	Y
0	58.855
1	59.509
2	59.945
3	59.218
4	59.800
5	60.582
6	58.745
7	58.564
8	58.800
9	58.636
10	59.055
11	59.309
12	59.109
13	58.855
14	58.527
15	58.655
16	58.400
17	59.545
18	58.291
19	59.764
20	58.709
21	59.909
22	59.364
23	57.182
24	58.600
25	58.127
26	58.127
27	59.091
28	60.291
29	60.200
30	59.818
31	60.545
32	61.455
33	60.891
34	62.291
35	61.109
36	63.800
37	63.564
38	64.727
39	64.218
40	64.691
41	66.182
42	66.018
43	67.145
44	69.255
45	72.891
46	75.218
47	81.200
48	89.509
49	100.182
50	114.291
51	131.000
52	147.400
53	162.873
54	174.455
55	185.255
56	194.055
57	199.055
58	200.091
59	194.091
60	179.000
61	135.418
62	76.255
63	64.109
64	64.655
65	66.309
66	68.745
67	71.800
68	76.545
69	85.000
70	96.800
71	109.164
72	123.855
73	133.418
74	143.709
75	150.727
76	153.364
77	148.055
78	127.327
79	83.873
80	63.218
81	58.782
82	57.036
83	57.545
84	57.145
85	56.509
86	55.418
87	56.564
88	56.364
89	58.164
90	57.582
91	57.091
92	56.764
93	57.945
94	59.018
95	59.345
96	59.582
97	60.091
98	60.709
99	60.400
100	64.873
101	65.673
102	69.673
103	73.909
104	78.836
105	84.636
106	89.000
107	90.927
108	90.982
109	90.382
110	83.291
111	75.782
112	66.782
113	61.055
114	57.127
115	54.200
116	53.945
117	53.673
118	53.273
119	53.527
120	52.436
121	52.164
122	52.473
123	52.345
124	53.727
125	54.455
126	56.564
127	58.764
128	59.964
129	62.673
130	64.909
131	68.545
132	69.091
133	66.527
134	65.000
135	59.600
136	57.764
137	53.455
138	51.436
139	51.473
140	50.455
141	49.764
142	50.436
143	49.473
144	48.982
145	47.964
146	49.455
147	48.400
148	49.618
149	48.800
150	48.655
151	47.764
152	47.945
153	48.382
154	48.036
155	48.436
156	48.545
157	48.182
158	48.545
159	46.873
160	47.564
161	47.436
162	47.473
163	46.982
164	47.509
165	48.345
166	47.964
167	47.255
168	49.436
169	47.509
170	47.818
171	48.582
172	47.764
173	48.073
174	47.327
175	47.618
176	46.982
177	48.345
178	46.382
179	47.036
180	47.418
181	46.691
182	47.200
183	47.636
184	46.745
185	47.255
186	46.636
187	45.927
188	46.673
189	46.200
190	47.127
191	46.400
192	46.618
193	46.655
194	46.164
195	47.036
196	45.873
197	47.018
198	47.073
199	45.418
200	46.382
