X	Y
0	62.091
1	62.891
2	62.309
3	60.727
4	60.782
5	60.727
6	61.164
7	60.200
8	58.055
9	60.764
10	60.855
11	58.545
12	58.164
13	59.073
14	60.909
15	58.545
16	59.509
17	60.036
18	60.109
19	59.418
20	59.473
21	59.291
22	59.764
23	59.873
24	59.673
25	60.455
26	60.255
27	60.145
28	60.618
29	61.127
30	61.927
31	62.745
32	62.982
33	63.764
34	63.200
35	64.236
36	65.236
37	65.291
38	65.655
39	67.000
40	67.364
41	68.018
42	68.836
43	69.745
44	71.309
45	73.818
46	76.618
47	79.164
48	84.309
49	89.691
50	99.327
51	109.691
52	123.400
53	139.200
54	154.436
55	168.491
56	181.473
57	192.000
58	200.291
59	205.073
60	205.982
61	204.036
62	197.818
63	183.073
64	158.055
65	117.927
66	83.073
67	72.273
68	72.182
69	74.873
70	77.473
71	81.636
72	88.636
73	97.964
74	108.000
75	119.691
76	131.527
77	141.145
78	149.527
79	153.764
80	155.564
81	153.891
82	145.109
83	129.164
84	100.200
85	72.673
86	61.691
87	58.455
88	58.509
89	56.945
90	58.236
91	57.545
92	57.764
93	58.291
94	58.800
95	58.473
96	59.236
97	58.345
98	59.055
99	59.436
100	61.036
101	59.818
102	61.236
103	59.745
104	60.891
105	61.055
106	60.000
107	60.800
108	59.364
109	59.655
110	60.309
111	59.509
112	59.218
113	60.091
114	59.291
115	58.709
116	58.309
117	57.327
118	56.909
119	56.564
120	56.327
121	55.473
122	56.345
123	55.964
124	55.145
125	54.600
126	53.509
127	54.745
128	52.982
129	52.745
130	51.182
131	53.345
132	52.618
133	53.545
134	52.655
135	54.709
136	54.018
137	53.691
138	54.309
139	53.964
140	53.418
141	52.545
142	53.055
143	52.400
144	51.764
145	52.473
146	52.709
147	51.273
148	51.964
149	51.818
150	52.491
151	50.291
152	52.509
153	50.836
154	51.036
155	50.727
156	51.000
157	52.055
158	52.345
159	50.473
160	50.491
161	49.236
162	50.000
163	50.491
164	50.055
165	49.782
166	51.436
167	51.255
168	49.618
169	50.873
170	49.545
171	50.709
172	50.673
173	49.927
174	49.545
175	50.091
176	51.545
177	50.327
178	49.145
179	48.455
180	49.273
181	49.891
182	48.327
183	50.564
184	48.400
185	49.109
186	49.800
187	49.782
188	48.800
189	49.964
190	49.382
191	48.909
192	48.836
193	48.327
194	49.327
195	48.182
196	49.036
197	48.000
198	47.582
199	48.873
200	49.218
