X	Y
0	58.709
1	58.473
2	59.418
3	59.509
4	59.927
5	59.509
6	60.309
7	57.782
8	57.145
9	58.164
10	56.873
11	59.273
12	58.727
13	58.145
14	57.636
15	56.745
16	57.073
17	58.418
18	57.309
19	58.964
20	57.145
21	58.873
22	58.455
23	57.618
24	58.309
25	57.164
26	56.255
27	56.873
28	56.927
29	57.891
30	59.764
31	57.764
32	58.818
33	61.127
34	61.345
35	60.673
36	61.218
37	63.109
38	64.091
39	62.782
40	65.291
41	66.073
42	65.509
43	65.982
44	69.327
45	72.036
46	74.982
47	80.873
48	86.582
49	97.382
50	109.564
51	126.036
52	141.782
53	157.709
54	173.618
55	185.855
56	194.764
57	199.800
58	200.236
59	196.509
60	180.091
61	139.091
62	79.655
63	65.782
64	66.418
65	66.800
66	68.382
67	70.618
68	74.491
69	82.909
70	92.345
71	106.564
72	119.509
73	132.036
74	141.764
75	148.436
76	151.418
77	147.873
78	130.691
79	89.909
80	63.818
81	58.655
82	56.982
83	58.291
84	56.945
85	56.418
86	56.800
87	56.364
88	58.036
89	56.309
90	58.091
91	57.400
92	56.582
93	57.073
94	58.218
95	59.618
96	59.873
97	59.618
98	59.873
99	61.091
100	62.818
101	65.273
102	68.164
103	73.800
104	79.982
105	85.927
106	90.927
107	94.673
108	95.145
109	92.745
110	86.600
111	77.891
112	68.055
113	60.527
114	56.200
115	54.000
116	52.436
117	51.564
118	53.091
119	52.782
120	52.345
121	53.109
122	51.909
123	52.309
124	53.636
125	52.545
126	55.145
127	58.255
128	61.673
129	64.382
130	67.673
131	69.327
132	69.509
133	68.455
134	65.018
135	59.691
136	54.636
137	52.491
138	50.527
139	48.527
140	49.073
141	50.291
142	49.200
143	47.727
144	48.018
145	48.182
146	47.327
147	49.691
148	48.073
149	48.455
150	48.255
151	48.600
152	46.582
153	48.091
154	47.964
155	47.291
156	46.836
157	47.400
158	48.182
159	45.764
160	48.527
161	47.164
162	46.073
163	48.709
164	47.600
165	47.436
166	48.564
167	48.473
168	47.018
169	48.218
170	48.745
171	48.055
172	46.600
173	48.982
174	46.255
175	47.636
176	48.145
177	47.836
178	47.273
179	48.364
180	46.600
181	47.455
182	49.055
183	47.327
184	46.909
185	46.818
186	48.109
187	47.709
188	48.382
189	47.836
190	48.091
191	48.145
192	48.600
193	48.418
194	47.782
195	48.582
196	48.509
197	47.055
198	48.691
199	48.527
200	48.000
